teamId,team
43922,Argentina
43976,Australia
43935,Belgium
43924,Brazil
43926,Colombia
43901,Costa Rica
43938,Croatia
43941,Denmark
43855,Egypt
43942,England
43946,France
43948,Germany
43951,Iceland
43817,IR Iran
43819,Japan
43822,Korea Republic
43911,Mexico
43872,Morocco
43876,Nigeria
43914,Panama
43929,Peru
43962,Poland
43963,Portugal
43965,Russia
43835,Saudi Arabia
43879,Senegal
1902465,Serbia
43969,Spain
43970,Sweden
43971,Switzerland
43888,Tunisia
43930,Uruguay
43843,Algeria
43849,Cameroon
43854,C̫te d'Ivoire
43860,Ghana
43817,Iran
44037,Bosnia and Herzegovina
43949,Greece
43954,Italy
43960,Netherlands
43909,Honduras
43921,USA
43925,Chile
43927,Ecuador
43854,Ivory Coast
43883,South Africa
43821,Korea DPR
44002,Slovakia
43968,Slovenia
43978,New Zealand
43928,Paraguay
43844,Angola
43887,Togo
43995,Czech Republic
1890244,Serbia and Montenegro
43973,Ukraine
43920,Trinidad and Tobago
43812,China PR
43953,Republic of Ireland
43972,Turkey
43934,Austria
43936,Bulgaria
43961,Norway
43964,Romania
43967,Scotland
43975,Yugoslavia
43910,Jamaica
43923,Bolivia
43840,United Arab Emirates
44025,Czechoslovakia
44023,Germany FR
44026,Soviet Union
43818,Iraq
43950,Hungary
43952,Northern Ireland
43899,Canada
43823,Kuwait
43904,El Salvador
43890,Zaire
44024,German DR
43908,Haiti
43984,Israel
43974,Wales
44031,Dutch East Indies
43902,Cuba
